state_abbr,date_range_start,Nunits_Benchmark,SumDailyVisits_Benchmark,MaxDailyVisitsPerUnit_Benchmark,MinDailyVisitsPerUnit_Benchmark,MedDailyVisitsPerUnit_Benchmark,Nunits_Focal,SumDailyVisits_Focal,MaxDailyVisitsPerUnit_Focal,MinDailyVisitsPerUnit_Focal,MedDailyVisitsPerUnit_Focal,Post03132020,BlueState,Blue_Post,ln_SumDailyVisits,state,total_population,male,female,median_age,age_over18,age_over21,age_over62,age_over65,single_race,two_or_more_race,white,black,indian_alaska,asian,hawaiian_pacific,other_races,hispanic_latino,housing_units,citizen,citizen_male,citizen_female,Y,date,day_of_week,Monday,Monday
AL,2018-09-10 00:00:00+00:00,4.0,507.0,53.0,5.0,17.0,2.0,417.0,55.0,9.0,27.0,0.0,0.0,0.0,6.035481432524756,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.19500001505372566,2018-09-10 00:00:00+00:00,Monday,True,True
AL,2018-09-17 00:00:00+00:00,4.0,673.0,59.0,7.0,20.5,2.0,588.0,73.0,26.0,41.0,0.0,0.0,0.0,6.3784261836515865,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.13480392726072044,2018-09-17 00:00:00+00:00,Monday,True,True
AL,2018-09-24 00:00:00+00:00,4.0,721.0,54.0,5.0,23.0,2.0,657.0,95.0,17.0,35.5,0.0,0.0,0.0,6.489204931325317,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.09282020756750864,2018-09-24 00:00:00+00:00,Monday,True,True
AL,2018-10-01 00:00:00+00:00,4.0,567.0,55.0,3.0,16.0,2.0,601.0,74.0,24.0,36.0,0.0,0.0,0.0,6.400257445308821,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.05813602658766914,2018-10-01 00:00:00+00:00,Monday,True,True
AL,2018-10-08 00:00:00+00:00,4.0,589.0,47.0,5.0,17.5,2.0,677.0,92.0,26.0,48.0,0.0,0.0,0.0,6.519147287940395,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.1390247510406306,2018-10-08 00:00:00+00:00,Monday,True,True
AL,2018-10-15 00:00:00+00:00,4.0,557.0,44.0,5.0,18.0,2.0,748.0,83.0,28.0,49.5,0.0,0.0,0.0,6.618738983517219,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.29438002113590844,2018-10-15 00:00:00+00:00,Monday,True,True
AL,2018-10-22 00:00:00+00:00,4.0,602.0,59.0,1.0,16.5,2.0,635.0,77.0,20.0,38.5,0.0,0.0,0.0,6.455198563340122,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.05328136661293659,2018-10-22 00:00:00+00:00,Monday,True,True
AL,2018-10-29 00:00:00+00:00,4.0,579.0,46.0,4.0,16.0,2.0,622.0,81.0,25.0,40.5,0.0,0.0,0.0,6.434546518787453,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.0715184152469881,2018-10-29 00:00:00+00:00,Monday,True,True
AL,2018-11-05 00:00:00+00:00,4.0,598.0,43.0,5.0,17.5,2.0,656.0,98.0,19.0,40.5,0.0,0.0,0.0,6.48768401848461,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.09242242036916082,2018-11-05 00:00:00+00:00,Monday,True,True
AL,2018-11-12 00:00:00+00:00,4.0,515.0,57.0,2.0,13.5,2.0,615.0,86.0,18.0,42.0,0.0,0.0,0.0,6.423246963533519,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.1771401980519567,2018-11-12 00:00:00+00:00,Monday,True,True
AL,2018-11-19 00:00:00+00:00,4.0,392.0,44.0,0.0,13.0,2.0,563.0,71.0,1.0,41.0,0.0,0.0,0.0,6.335054251498059,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.36124463962879805,2018-11-19 00:00:00+00:00,Monday,True,True
AL,2018-11-26 00:00:00+00:00,4.0,478.0,50.0,1.0,14.0,2.0,643.0,82.0,25.0,38.5,0.0,0.0,0.0,6.467698726104354,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.295998128693439,2018-11-26 00:00:00+00:00,Monday,True,True
AL,2018-12-03 00:00:00+00:00,4.0,599.0,67.0,4.0,18.5,2.0,740.0,91.0,24.0,47.5,0.0,0.0,0.0,6.608000625296087,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.21107097007994025,2018-12-03 00:00:00+00:00,Monday,True,True
AL,2018-12-10 00:00:00+00:00,4.0,723.0,88.0,3.0,22.5,2.0,938.0,127.0,29.0,63.5,0.0,0.0,0.0,6.844815479208263,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.26002408682254696,2018-12-10 00:00:00+00:00,Monday,True,True
AL,2018-12-17 00:00:00+00:00,4.0,725.0,74.0,7.0,22.0,2.0,945.0,91.0,42.0,68.5,0.0,0.0,0.0,6.852242569051878,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.26469255422708216,2018-12-17 00:00:00+00:00,Monday,True,True
AL,2018-12-24 00:00:00+00:00,4.0,688.0,76.0,0.0,20.5,2.0,1002.0,121.0,0.0,78.5,0.0,0.0,0.0,6.910750787961936,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.37550951694827717,2018-12-24 00:00:00+00:00,Monday,True,True
AL,2018-12-31 00:00:00+00:00,4.0,751.0,68.0,6.0,21.5,2.0,994.0,119.0,34.0,63.5,0.0,0.0,0.0,6.902742737158593,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.28000641320875275,2018-12-31 00:00:00+00:00,Monday,True,True
AL,2019-01-07 00:00:00+00:00,4.0,625.0,74.0,5.0,13.0,2.0,762.0,111.0,27.0,41.0,0.0,0.0,0.0,6.637258031284457,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.19790766018435857,2019-01-07 00:00:00+00:00,Monday,True,True
AL,2019-01-14 00:00:00+00:00,4.0,587.0,58.0,5.0,19.0,2.0,813.0,109.0,30.0,55.0,0.0,0.0,0.0,6.70196036600254,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.32523341810391315,2019-01-14 00:00:00+00:00,Monday,True,True
AL,2019-01-21 00:00:00+00:00,4.0,664.0,60.0,2.0,21.0,2.0,807.0,102.0,32.0,50.5,0.0,0.0,0.0,6.694562058521095,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.19477501786524076,2019-01-21 00:00:00+00:00,Monday,True,True
